State,Capital city,Second city,Third city
Alabama,Montgomery,Mobile,Huntsville,
Alaska,Juneau,Anchorage,Fairbanks,
Arizona,Phoenix,Tuscon,Scottsdale,
Arkansas,Little Rock,Hot Springs,Jonesboro,
California,Sacramento,Los Angeles,San Diego,
Colorado,Denver,Boulder,Aspen,
Connecticut,Hartford,New Haven,Greenwich,
Delaware,Dover,Newark,Middletown,
Florida,Tallahassee,Orlando,Tampa,
Georgia,Atlanta,Athens,Milledgeville,
Hawaii,Honolulu,Hilo,Hawi,
Idaho,Boise,Twin Falls,Nampa,
Illinois,Springfield,Chicago,Rockford,
Indiana,Indianapolis,Gary,Evansville,
Iowa,Des Moines,Ames,Cedar Rapids,
Kansas,Topeka,Manhattan,Wichita,
Kentucky,Frankfort,Bowling Green,Lexington,
Louisiana,Baton Rouge,Layfayette,New Orleans,
Maine,Augusta,Portland,Bar Harbor,
Maryland,Annapolis,Rockville,Baltimore,
Massachusetts,Boston,Worcester,Salem,
Michigan,Lansing,Flint,Detroit,
Minnesota,Saint Paul,Eagan,Minneapolis,
Mississippi,Jackson,Tupelo,Oxford,
Missouri,Jefferson City,St Louis,Kansas City,
Montana,Helena,Great Falls,Butte,
Nebraska,Lincoln,Kearney,Omaha,
Nevada,Carson City,Mesquite,Reno,
New Hampshire,Concord,North Hampton,Manchester,
New Jersey,Trenton,Princeton,Newark,
New Mexico,Santa Fe,Roswell,Albuquerque,
New York,Albany,Rochester,Binghamton,
North Carolina,Raleigh,Durham,Wilmington,
North Dakota,Bismarck,Grand Forks,Fargo,
Ohio,Columbus,Toledo,Akron,
Oklahoma,Oklahoma City,Lawton,Tulsa,
Oregon,Salem,Bend,Eugene,
Pennsylvania,Harrisburg,Pittsburgh,Allentown,
Rhode Island,Providence,Westerly,Warwick,
South Carolina,Columbia,Myrtle Beach,Charleston,
South Dakota,Pierre,Aberdeen,Watertown,
Tennessee,Nashville,Pigeon Forge,Chattanooga,
Texas,Austin,Dallas,Fort Worth,
Utah,Salt Lake City,Moab,Park City,
Vermont,Montpelier,Rutland,Stowe,
Virginia,Richmond,Roanoke,Norfolk,
Washington,Olympia,Seattle,Tacoma,
West Virginia,Charleston,Wheeling,Morgantown,
Wisconsin,Madison,Appleton,Milwaukee,
Wyoming,Cheyenne,Cody,Jackson,
